use_case,Phase.SERVING_1,Phase.TRAINING_1,qualitity_metric_name,qualitity_metric_value
1,69.601,598.178,,-1.0
3,32.524,82.922,mean_squared_log_error,3.4150261255447316
4,41.705,68.758,f1_score,0.7053769811879722
6,40.05,102.518,matthews_corrcoef,0.21480980889183632
7,33.28,63.935,median_absolute_error,1.5146842
8,130.772,6740.492,accuracy_score,0.7527192307692308
10,38.259,102.221,accuracy_score,0.816842981396001
