use_case,Phase.SERVING_1,Phase.TRAINING_1,quality_metric_name,quality_metric_value
1,61.931999999999995,176.01933333333332,,-1.0
3,31.861333333333334,46.514,mean_squared_log_error,3.5695874221590547
4,45.16766666666666,43.78333333333334,f1_score,0.7072847682119207
6,44.324999999999996,92.74233333333332,matthews_corrcoef,0.23136391580886215
7,33.91166666666666,38.323,median_absolute_error,1.6254145833333336
8,50.467333333333336,2597.9169999999995,accuracy_score,0.7244365384615384
10,35.94933333333333,52.34966666666667,accuracy_score,0.8164490961121388
