use_case,Phase.SERVING_1,Phase.TRAINING_1,quality_metric_name,quality_metric_value
1,53.69000000000002,268.42266666666666,,-1.0
3,30.729333333333326,68.63100000000001,mean_squared_log_error,3.591833542137
4,44.214999999999996,50.16466666666667,f1_score,0.7072847682119207
6,39.94766666666667,87.85099999999998,matthews_corrcoef,0.23380205213843977
7,34.044999999999995,46.836666666666666,median_absolute_error,1.6254155000000001
8,80.19666666666666,2758.756,accuracy_score,0.7244365384615384
10,35.36333333333334,65.836,accuracy_score,0.8164490961121388
