use_case,Phase.SERVING_1,Phase.TRAINING_1,quality_metric_name,quality_metric_value
1,83.63,962.07,,-1.0
3,33.21066666666667,181.39533333333335,mean_squared_log_error,3.599835902437744
4,49.69899999999999,125.96766666666666,f1_score,0.7072847682119207
6,31.19366666666666,139.81499999999997,matthews_corrcoef,0.23380205213843977
7,32.764,53.54900000000001,median_absolute_error,1.6254157000000002
8,100.60266666666666,3516.043666666667,accuracy_score,0.7244365384615384
10,38.31099999999999,193.39433333333332,accuracy_score,0.8164490961121388
