use_case,Phase.SERVING_1,Phase.TRAINING_1,quality_metric_name,quality_metric_value
1,53.72800000000001,347.88966666666676,,-1.0
3,29.814666666666668,80.01166666666666,mean_squared_log_error,3.5753788545840077
4,38.24999999999999,65.12400000000001,f1_score,0.7072847682119207
6,35.15266666666666,78.94433333333332,matthews_corrcoef,0.23380205213843977
7,31.145,38.57366666666667,median_absolute_error,1.6254149666666666
8,69.89133333333332,2891.713,accuracy_score,0.7244365384615384
10,34.909000000000006,100.72533333333332,accuracy_score,0.8164490961121388
